request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,291.36,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2732930.06,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,24891.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,22877.65,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,581.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 2,400 minimum protected."
request_37,4417999.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,171.8,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,56993.98,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,10833390.98,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8342128.42,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,3275615.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. None of the available options keeps the IDR 11,149,800 minimum protected."
request_46,35126.66,affordable_with_plan,partial_payment,2024-12-03:35126.66|2024-12-15:14323.34,2024-12-15,none,"Pay INR 35,126.66 today and the remaining INR 14,323.34 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12751170.06,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,19388.71,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,1904.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,128967.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,635.69,affordable_with_plan,partial_payment,2025-02-03:635.69|2025-02-15:245.87,2025-02-15,none,"Pay USD 635.69 today and the remaining USD 245.87 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12901.63,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
